,app,tec,house,recall,accuracy,precision,f1,TP,TN,FP,FN,P,N
0,kettle,ANN,test,0.8403802032120616,0.9964874307768365,0.6804670912951167,0.7520164246957032,2564,477159,1204,487,3051,478363
1,kettle,ANN,1,0.646822314615982,0.9960405724010426,0.6928498017912201,0.6690453686200377,28314,7018434,12552,15460,43774,7030986
2,kettle,ANN,2,0.4381733206590621,0.9937605816683267,0.8696643345648927,0.5827385498696305,11063,2512273,1658,14185,25248,2513931
3,kettle,ANN,5,0.6885336273428887,0.9979892428466122,0.7364386792452831,0.7116809116809119,2498,1002064,894,1130,3628,1002958
4,kettle,CNN,test,0.914782038675844,0.9980079515759824,0.7997134670487106,0.8533863323650819,2791,477664,699,260,3051,478363
5,kettle,CNN,1,0.8058436514826153,0.9982505413611203,0.9009526728475468,0.8507482484594884,35275,7027108,3878,8499,43774,7030986
6,kettle,CNN,2,0.6579134980988594,0.9961074032197021,0.9301713517751148,0.7707047742773628,16611,2512684,1247,8637,25248,2513931
7,kettle,CNN,5,0.8164277839029769,0.9984810041069516,0.7743790849673202,0.794847712330605,2962,1002095,863,666,3628,1002958
8,kettle,GRU,test,0.7305801376597837,0.9980557275027315,0.9513444302176697,0.8264738598442714,2229,478249,114,822,3051,478363
9,kettle,GRU,1,0.41261936309224656,0.9962482119534797,0.956015455459694,0.5764437423205196,18062,7030155,831,25712,43774,7030986
10,kettle,GRU,2,0.5208333333333334,0.9949003201428493,0.9392186272409113,0.6700807663889526,13150,2513080,851,12098,25248,2513931
11,kettle,GRU,5,0.327728776185226,0.9975054292430056,0.9429024583663759,0.48639803640826335,1189,1002886,72,2439,3628,1002958
12,kettle,logisticRegression,test,0.778105539167486,0.9946968721308479,0.5585882352941176,0.6503218737159293,2374,476487,1876,677,3051,478363
13,kettle,logisticRegression,1,0.27210216110019647,0.9942292035348196,0.5705868263473054,0.36848211109220563,11911,7022022,8964,31863,43774,7030986
14,kettle,logisticRegression,2,0.23712769328263625,0.9921242259801298,0.8903926234384295,0.3745152008007006,5987,2513194,737,19261,25248,2513931
15,kettle,logisticRegression,5,0.12348401323042998,0.9965248870936015,0.5848563968668408,0.20391442876649976,448,1002640,318,3180,3628,1002958
16,kettle,KNN,test,0.6548672566371682,0.9953345768922383,0.6261360075211533,0.6401794296699775,1998,477170,1193,1053,3051,478363
17,kettle,KNN,1,0.15283044729748252,0.993936190061571,0.5349432272509196,0.23773987206823027,6690,7025170,5816,37084,43774,7030986
18,kettle,KNN,2,0.45769961977186313,0.9941784332652405,0.9138067373082398,0.6099118593972661,11556,2512841,1090,13692,25248,2513931
19,kettle,KNN,5,0.17420066152149946,0.9955244758023656,0.29518916394208317,0.21910209741723002,632,1001449,1509,2996,3628,1002958
20,kettle,SVM,test,0.8121927236971485,0.9947820379133137,0.561014263074485,0.6636314943760043,2478,476424,1939,573,3051,478363
21,kettle,SVM,1,0.35109882578699686,0.9939179562274904,0.5124195645650652,0.4166903900117939,15369,7016362,14624,28405,43774,7030986
22,kettle,SVM,2,0.1133555133079848,0.9910557703887752,0.8980232193285221,0.2013012132934764,2862,2513606,325,22386,25248,2513931
23,kettle,SVM,5,0.031146637265711135,0.9964553450971899,0.6807228915662651,0.05956773853452821,113,1002905,53,3515,3628,1002958
24,kettle,SGD,test,0.7607341855129466,0.9944455292118634,0.5441969519343494,0.6344997266265718,2321,476419,1944,730,3051,478363
25,kettle,SGD,1,0.2632612966601179,0.9941793078493122,0.5634105798376846,0.3588466089555957,11524,7022056,8930,32250,43774,7030986
26,kettle,SGD,2,0.7000950570342205,0.9963681174111789,0.9146227879540515,0.7931080899178893,17676,2512281,1650,7572,25248,2513931
27,kettle,SGD,5,0.34592061742006613,0.9953486338971533,0.3521324354657688,0.34899888765294773,1255,1000649,2309,2373,3628,1002958
28,kettle,randomForest,test,0.6247132087840053,0.9958725753717175,0.6935953420669578,0.6573547163304019,1906,477521,842,1145,3051,478363
29,kettle,randomForest,1,0.09457668935898021,0.993867071109126,0.5243825205826472,0.1602508273819892,4140,7027231,3755,39634,43774,7030986
30,kettle,randomForest,2,0.2962214828897338,0.9927035470914024,0.907976204928979,0.44670748096162466,7479,2513173,758,17769,25248,2513931
31,kettle,randomForest,5,0.07717750826901874,0.9961950593391921,0.3674540682414698,0.12756264236902048,280,1002476,482,3348,3628,1002958
32,kettle,perceptron,test,0.08259587020648967,0.9939843876580241,0.7220630372492837,0.14823529411764708,252,478266,97,2799,3051,478363
33,kettle,perceptron,1,0.11513683921962808,0.9942720318427762,0.7379209370424598,0.19919373962532602,5040,7029196,1790,38734,43774,7030986
34,kettle,perceptron,2,0.0721245247148289,0.990678483084493,0.8826951042171595,0.1333528614843836,1821,2513689,242,23427,25248,2513931
35,kettle,perceptron,5,0.11824696802646086,0.996535815121609,0.5983263598326359,0.19746835443037974,429,1002670,288,3199,3628,1002958
36,toaster,ANN,test,0.7656352863726136,0.9889886874914315,0.3363702096890817,0.4673967647945343,2326,473787,4589,712,3038,478376
37,toaster,ANN,1,0.7418167145811267,0.9890951839524258,0.30537647803834855,0.43264867885954655,29416,6968199,66911,10238,39654,7035110
38,toaster,CNN,test,0.6576695194206715,0.9950209175470592,0.5955290611028315,0.6250586579070859,1998,477019,1357,1040,3038,478376
39,toaster,CNN,1,0.6224844908458164,0.99387456599259,0.46529688972667294,0.5325336555056955,24684,7006744,28366,14970,39654,7035110
40,toaster,GRU,test,0.7100065832784727,0.9907210841396387,0.375587671948459,0.49128800819952173,2157,474790,3586,881,3038,478376
41,toaster,GRU,1,0.6718868210016644,0.9896194417227203,0.30598814773980154,0.42048198475450976,26643,6974681,60429,13011,39654,7035110
42,toaster,logisticRegression,test,0.18959842001316657,0.9827528904435683,0.08976157082748948,0.12184029613960869,576,472535,5841,2462,3038,478376
43,toaster,logisticRegression,1,0.13945629696877995,0.9839239867223839,0.06495184402161146,0.08862605573985928,5530,6955500,79610,34124,39654,7035110
44,toaster,logisticRegression,2,0.0,0.999541832542966,0.0,0.0,0,2048530,933,6,6,2049463
45,toaster,logisticRegression,5,0.0,0.9999950327244116,0.0,0.0,0,1006583,0,5,5,1006583
46,toaster,KNN,test,0.6573403554970375,0.9949399061930064,0.5887382075471698,0.6211508553654743,1997,476981,1395,1041,3038,478376
47,toaster,KNN,1,0.46487113532052254,0.9881022179679775,0.22649530643338084,0.3045884899456387,18434,6972156,62954,21220,39654,7035110
48,toaster,KNN,2,0.0,0.9953719719595661,0.0,0.0,0,2039984,9479,6,6,2049463
49,toaster,KNN,5,0.0,0.9909575715188339,0.0,0.0,0,997486,9097,5,5,1006583
50,toaster,SVM,test,0.8900592495062541,0.9862633824525253,0.30101302460202606,0.4498793777555944,2704,472097,6279,334,3038,478376
51,toaster,SVM,1,0.7309476975841025,0.9855004350675161,0.2397495388636608,0.36106906839571223,28985,6943198,91912,10669,39654,7035110
52,toaster,SVM,2,0.0,0.9999970724124151,0.0,0.0,0,2049463,0,6,6,2049463
53,toaster,SVM,5,0.0,0.9993681625451525,0.0,0.0,0,1005952,631,5,5,1006583
54,toaster,SGD,test,0.6965108624094799,0.9869052416423286,0.2822085889570552,0.40167046317388,2116,472994,5382,922,3038,478376
55,toaster,SGD,1,0.3630907348565088,0.9864280985203181,0.1690699859088774,0.23071129841203705,14398,6964348,70762,25256,39654,7035110
56,toaster,SGD,2,0.0,0.9915251218730315,0.0,0.0,0,2032100,17363,6,6,2049463
57,toaster,SGD,5,0.0,0.9982167480637559,0.0,0.0,0,1004793,1790,5,5,1006583
58,toaster,randomForest,test,0.7419354838709677,0.9975841998778598,0.8560577288264337,0.7949215305942514,2254,477997,379,784,3038,478376
59,toaster,randomForest,1,0.39663085691229133,0.9915751253328027,0.3059565031319301,0.34544256534153306,15728,6999432,35678,23926,39654,7035110
60,toaster,randomForest,2,0.0,0.9987035666311616,0.0,0.0,0,2046812,2651,6,6,2049463
61,toaster,randomForest,5,0.0,0.9994456520443319,0.0,0.0,0,1006030,553,5,5,1006583
62,toaster,perceptron,test,0.0,0.9936894232407034,0.0,0.0,0,478376,0,3038,3038,478376
63,toaster,perceptron,1,0.0,0.9943950073811649,0.0,0.0,0,7035110,0,39654,39654,7035110
64,toaster,perceptron,2,0.0,0.9999970724124151,0.0,0.0,0,2049463,0,6,6,2049463
65,toaster,perceptron,5,0.0,0.9999950327244116,0.0,0.0,0,1006583,0,5,5,1006583
66,dish washer,ANN,test,0.9454992967651196,0.990615146215108,0.381310266591038,0.5434518997574778,2689,474207,4363,155,2844,478570
67,dish washer,ANN,1,0.8602900502657591,0.9887269790367464,0.32602355171533776,0.47285105257939786,35770,6959331,73946,5809,41579,7033277
68,dish washer,CNN,test,0.8593530239099859,0.9822294324635346,0.23058779130106613,0.36360931339730707,2444,470415,8155,400,2844,478570
69,dish washer,CNN,1,0.7124028956925371,0.9829624800844003,0.21433274723048315,0.3295249749694071,29621,6924697,108580,11958,41579,7033277
70,dish washer,GRU,test,0.9272151898734177,0.9947654201996619,0.5327272727272727,0.6766743648960738,2637,476257,2313,207,2844,478570
71,dish washer,GRU,1,0.8634647297914813,0.9890250769768317,0.33282346506475324,0.48045500167280025,35902,6961308,71969,5677,41579,7033277
72,dish washer,logisticRegression,test,0.970112517580872,0.9937143498111812,0.48403508771929826,0.6458333333333333,2759,475629,2941,85,2844,478570
73,dish washer,logisticRegression,1,0.25067942951970945,0.9917216689640044,0.27548566142460684,0.2624977963583247,10423,7005865,27412,31156,41579,7033277
74,dish washer,logisticRegression,2,0.007341554344708919,0.9900715697927462,0.04039129062795835,0.0124247718889536,128,2028992,3041,17307,17435,2032033
75,dish washer,logisticRegression,5,0.0,0.9999964534731138,0.0,0.0,0,1973755,7,0,0,1973762
76,dish washer,KNN,test,0.6023206751054853,0.9971022861819556,0.866464339908953,0.7106409458618544,1713,478306,264,1131,2844,478570
77,dish washer,KNN,1,0.125207436446283,0.9944913366434596,0.6669228798360236,0.21083324896223554,5206,7030677,2600,36373,41579,7033277
78,dish washer,KNN,2,0.009176942930886148,0.990844453292269,0.09702850212249849,0.016767973171242925,160,2030544,1489,17275,17435,2032033
79,dish washer,KNN,5,0.0,0.9989289488803614,0.0,0.0,0,1971648,2114,0,0,1973762
80,dish washer,SVM,test,0.9708157524613221,0.9936499561707802,0.48142981691368786,0.6436647627928662,2761,475596,2974,83,2844,478570
81,dish washer,SVM,1,0.26102118858077394,0.9915831502436233,0.27354757403906743,0.26713761784035245,10853,7004455,28822,30726,41579,7033277
82,dish washer,SVM,2,0.007341554344708919,0.990371647666614,0.050117462803445575,0.012807043874130772,128,2029607,2426,17307,17435,2032033
83,dish washer,SVM,5,0.0,1.0,0.0,0.0,0,1973762,0,0,0,1973762
84,dish washer,SGD,test,0.9015471167369902,0.9933362968256012,0.4668608885651857,0.6151631477927063,2564,475642,2928,280,2844,478570
85,dish washer,SGD,1,0.08910748214242767,0.9918984923509397,0.16005702436495595,0.11448081944165496,3705,7013834,19443,37874,41579,7033277
86,dish washer,SGD,2,0.009693145970748494,0.9849551200604254,0.012302540583824706,0.010843064288464006,169,2018465,13568,17266,17435,2032033
87,dish washer,SGD,5,0.0,0.9962234555128734,0.0,0.0,0,1966308,7454,0,0,1973762
88,dish washer,randomForest,test,0.6265822784810127,0.9973827100998309,0.9,0.7388059701492536,1782,478372,198,1062,2844,478570
89,dish washer,randomForest,1,0.03475312056567017,0.994155216728086,0.5428249436513899,0.06532402070477611,1445,7032060,1217,40134,41579,7033277
90,dish washer,randomForest,2,0.0021795239460854605,0.990737596293282,0.023399014778325122,0.003987617398604334,38,2030447,1586,17397,17435,2032033
91,dish washer,randomForest,5,0.0,0.9974784193838974,0.0,0.0,0,1968785,4977,0,0,1973762
92,dish washer,perceptron,test,0.4651898734177215,0.992927085626924,0.41253507951356405,0.43728309370352003,1323,476686,1884,1521,2844,478570
93,dish washer,perceptron,1,0.05998220255417398,0.9927003461271862,0.16568125954959145,0.08807741206385084,2494,7020718,12559,39085,41579,7033277
94,dish washer,perceptron,2,0.37155147691425294,0.9833644633631752,0.2187405031234172,0.27536663124335814,6478,2008896,23137,10957,17435,2032033
95,dish washer,perceptron,5,0.0,0.9908783328486414,0.0,0.0,0,1955758,18004,0,0,1973762
